window,classical_l2,classical_turnover,shrink_l2,shrink_turnover,bootstrap_l2,bootstrap_turnover,parametric_l2,parametric_turnover,unified_l2,unified_turnover,1N_l2,1N_turnover
36,0.04072317686020416,0.09870921676937211,0.040319995560390946,0.10706999869693,0.03721848827098272,0.13476174657804613,0.024365954842423723,0.08184264021887129,0.028979049653935444,0.09828145780242534,0.0,0.0
37,0.16419499555959408,0.45038767564918636,0.17233443652486724,0.47803681166570644,0.06081082072000554,0.19777408780505282,0.09567535227028734,0.28876842283760357,0.10739024642222107,0.3186708986117515,0.0,0.0
38,0.13319347379514615,0.2931477651391169,0.12803037881501822,0.29330975519360714,0.06253618999341579,0.18211452737807887,0.08128983669897702,0.19698743263674476,0.08868144051580895,0.22161346885623318,0.0,0.0
39,0.09232496951821226,0.22747431566304704,0.08799909227011898,0.23726252633347575,0.05311573259195249,0.1856161905799938,0.05453830217707751,0.16018085115191757,0.06074983785157625,0.1936738939015656,0.0,0.0
40,0.08299210418467091,0.2100168299953243,0.07820876924501424,0.20781223737187926,0.037203266444170775,0.12372950260828543,0.05365709352537547,0.1566307941674782,0.054592206012017155,0.159912239170669,0.0,0.0
41,0.09367096612656475,0.23292126465898635,0.09176981877264503,0.23855629249962812,0.043504876738993545,0.1487237024029712,0.058419088887623434,0.1689244856721219,0.0625799741990959,0.18089032055539597,0.0,0.0
42,0.08292475204469853,0.19919010285644767,0.08519151932120483,0.21538986244100108,0.044815486572299154,0.14238038964733468,0.056227087935907735,0.1537864451258537,0.05954880664326095,0.16437800721422488,0.0,0.0
43,0.05683942954424769,0.14983394278005013,0.05428390090397603,0.14149721627942322,0.053561031222792356,0.18301906460476103,0.04124718837652675,0.1342419655177234,0.04456460825760489,0.15185690089223997,0.0,0.0
44,0.07652701257579804,0.17924344119954883,0.07633193951278398,0.1791279168410192,0.03924543249339049,0.1369278877631895,0.050576398317735756,0.1504562898960412,0.046557520594971175,0.13203202250866192,0.0,0.0
45,0.08802648633742577,0.22305587161701318,0.0928337222987562,0.2278322001044112,0.055013234699556005,0.19506586281631985,0.048742983066520924,0.15633956171024674,0.0636017240874359,0.190528677406962,0.0,0.0
46,0.17096560261518454,0.4818610912549523,0.15189460359530108,0.41746770797233423,0.0709463502922387,0.23641984835182692,0.10567999642955059,0.3402011137199997,0.10566335214531289,0.3310243506423526,0.0,0.0
47,0.1951949522189597,0.4272332931577527,0.19034006103630088,0.43273824832882873,0.08550208924152723,0.23095114697200173,0.11890257093938979,0.27932254612909463,0.12990567552944088,0.3114470168901882,0.0,0.0
48,0.11167167194770408,0.26096719543424796,0.11381430721566756,0.2592673012482291,0.06527720126596566,0.19475024266605473,0.07223274386828121,0.1916338112577328,0.08236635240910006,0.21369531317898535,0.0,0.0
49,0.07089054579931987,0.14354026740570347,0.06551867457068981,0.15995826124833473,0.04369159331971004,0.1598030428706152,0.03878849031910832,0.111896151382544,0.04618421493421967,0.13693458158045405,0.0,0.0
50,0.11825121984953266,0.3076515128983619,0.1063322164687556,0.270726798971786,0.04942351462756769,0.17048791496883456,0.06608029080343088,0.20608955546893412,0.07123326072716848,0.20235042492464503,0.0,0.0
51,0.06003499923183336,0.15693571482299568,0.05628594273748039,0.15412034132115338,0.041774111381760216,0.12670674541978677,0.047508616043598455,0.15108732376356834,0.044280835207217116,0.13974824383542273,0.0,0.0
52,0.1268885845542023,0.3007560922502344,0.10100350565888414,0.24718544400741066,0.055573480145958906,0.1885066269134912,0.08595016787435053,0.2073128242232953,0.07653192510973196,0.2059121677618244,0.0,0.0
53,0.1744932378378151,0.4599764523643951,0.15519449031792684,0.4115877752235324,0.08274136396965263,0.22090056639853267,0.1154140054447297,0.3102308175770718,0.1161092961734209,0.3134381608457756,0.0,0.0
54,0.09933190281113471,0.2899796048207914,0.08894587195398276,0.26771871165093236,0.04720231780744834,0.16923869009017511,0.07217596329654456,0.2293045045386908,0.06732208069751452,0.21471484586874198,0.0,0.0
55,0.13042864896375955,0.2994386536411651,0.12141411135474,0.2795795043254169,0.06015686175372063,0.1620359437604164,0.08698837300637409,0.2123763746609737,0.0886953989089765,0.21532865506064197,0.0,0.0
56,0.10611844313097389,0.2860885270278289,0.10009375931696683,0.2662883374548538,0.04961255114655486,0.17437626289714392,0.0645715179946993,0.19881797187641076,0.06960922337475828,0.21185353399000179,0.0,0.0
57,0.0970279403280111,0.23165025771483647,0.08900610825221067,0.20765285516118093,0.06075247278337598,0.17362960748327322,0.07099085271095486,0.1781449043967899,0.07264073500608333,0.18430649380667202,0.0,0.0
58,0.13337627156561602,0.3642645296103165,0.12973932584358197,0.3440442776034727,0.06605220695149337,0.23786367074769105,0.09452551792814394,0.27629497843923495,0.09323063938056274,0.2814784937920289,0.0,0.0
59,0.17040838261519975,0.49910030256228055,0.1697515957038918,0.4781584467192405,0.06401173800432912,0.21411807527041496,0.0982259233227846,0.3230010795478694,0.10954325645307587,0.33751386376039366,0.0,0.0
60,0.09832959144387982,0.2895338755317839,0.09913901098249897,0.28490575513483807,0.054867316373717064,0.16465696193310186,0.06104921480733403,0.19784833827646553,0.06959659794964865,0.21147763218598123,0.0,0.0
61,0.159817691306422,0.48392576717587765,0.14865121084773678,0.44308301154049534,0.0653965667806301,0.20426256220722902,0.09867564904143344,0.3172475362780635,0.10254204043428126,0.31996199910876516,0.0,0.0
62,0.1406399234764022,0.36488177903794244,0.13061104299300738,0.32893214117928826,0.053435301079235165,0.17004002217507036,0.08369773345387536,0.24534980457981245,0.08718254896539049,0.24009640469659427,0.0,0.0
63,0.13224437166920328,0.3371790690619011,0.12997318397208613,0.3389605099569051,0.06317882586457987,0.2222298441056708,0.08797833000023693,0.27449717772598825,0.08959492717790593,0.2601391374254259,0.0,0.0
64,0.15388234687917154,0.4202946667692592,0.14822198714776966,0.3997292685164643,0.08900032019961923,0.2846069823705273,0.10416931160613044,0.31019357771903233,0.11204806227543174,0.3271418869965941,0.0,0.0
65,0.05054298561620878,0.12577994753043314,0.05027282628269261,0.12381972809162106,0.04145769829084072,0.1350116070256997,0.037125914849767905,0.1123203994015946,0.040575001713612516,0.11522977038091987,0.0,0.0
66,0.07674547230806054,0.21654500053428538,0.07493336620812321,0.212514465410348,0.04111728488014684,0.1064625060243381,0.053235294403928574,0.14956955736547572,0.05522697348639854,0.15238761967823186,0.0,0.0
